Air freshener,9.24,910
Alfredo sauce,19.63,978
All spice,1.97,221
Allergy medication,8.97,383
Aluminum foil,15.69,629
Anchovies,3.33,64
Antacids,9.85,726
Apple sauce,6.72,706
Apple sauce,2.93,400
Apples,9.25,467
Apricots,8.39,940
Asparagus,17.37,978
Avocados,10.98,59
Baby cookies,14.84,339
Baby food,19.75,273
Baby Items Cereal ,3.26,721
Baby Lotion,20.49,662
Baby shampoo,12.38,313
Baby wash,20.66,11
Baby wipes,16.64,979
Bacon,12.81,845
Bagels,8.95,741
Baguette,2.72,14
Baking powder,17.72,519
Baking soda,4.13,21
Bananas,7.17,770
Band-aids,15.24,596
Bar soap,9.53,567
Basil,3.99,15
Basil,2.13,368
Bathroom cleaner,17.17,691
Bay leaf,12.66,596
BBQ sauce,5.55,145
Bean salad,20.46,380
Beans,15.60,359
Beans,8.94,389
Beef pot pie,11.99,322
Beets,9.43,243
Berries,2.76,176
Bisquick,20.42,554
Bleach,5.17,998
Blue berries,16.24,541
Body wash,12.57,655
Bologna,19.74,412
Bottle liners,15.66,651
Bottle nipples,9.59,935
Bottles,12.72,604
Bouillon cubes,5.22,312
Bran,9.52,257
Bread crumbs,12.31,185
Breast pads,19.66,59
Breath mints,17.79,325
Broccoli,3.06,456
Broccoli soup,12.56,282
Brown sugar,13.47,136
Brownie mix,19.37,250
Brownies,20.07,758
Brussels sprouts,7.40,153
Buns,7.01,984
Burger patties,19.95,651
Burritos,13.21,904
Butter,9.23,278
Cabbage,8.26,121
Cake,13.85,373
Cake mix,17.23,875
Candles,16.06,984
Candy,2.02,700
Cantaloupe,3.05,48
Carpet cleaner,3.78,266
Carpet freshener,8.42,216
Carrots,6.09,217
Carrots,4.52,189
Cat food,8.43,849
Cat litter,7.30,254
Catnip,11.20,74
Cauliflower,11.46,609
Celery,5.68,946
Chard,18.28,772
Cheese bread,15.13,44
Cheese slices,16.93,297
Cheese spread,15.32,904
Cheezies,13.45,24
Cherries,15.96,787
Chew toy,5.03,118
Chick peas,1.16,914
Chicken,16.54,797
Chicken,4.36,197
Chicken bologna,16.10,611
Chicken breast,19.80,994
Chicken legs,7.72,900
Chicken loaf,6.51,24
Chicken noodle soup,6.20,709
Chicken nuggets,13.54,309
Chicken pot pie,12.75,135
Chicken wings,8.18,856
Chicken, flaked,16.58,523
Chili,6.54,340
Chili Sauce,14.97,911
Chip dip,20.52,427
Chips,13.44,687
Chives,6.25,68
Chocolate,20.81,839
Chocolate sauce,14.56,63
Cilantro,11.82,707
Cinnamon,5.09,378
Cinnamon buns,14.53,225
Clams,19.16,134
Cloves,20.46,303
Club soda,9.81,563
Cocoa powder,3.53,103
Cod,3.75,79
Coffee,19.51,546
Coffee whitener,9.18,18
Cold medicine,1.85,749
Collards,2.50,225
Conditioner,16.48,240
Cookies,20.79,346
Cookies,18.01,286
Corn,14.19,299
Corn chips,11.44,596
Corn dogs,16.61,942
Corn flakes,15.23,812
Corn meal,14.11,654
Corn creamed,15.28,646
Corn whole,15.05,214
Corned beef,17.10,492
Cottage cheese,14.50,958
Cotton balls,2.86,894
Cotton swabs,16.13,901
Couscous,6.81,112
Crab,15.96,422
Crackers,8.49,737
Cranberries,9.61,912
Cream,17.38,719
Cream cheese,12.37,939
Cream of wheat,9.21,460
Croissants,8.39,896
Cucumbers,13.47,132
Decorations,2.60,771
Dental/Breath bones,11.85,800
Deodorant,7.45,619
Diaper rash ointment,7.56,939
Diapers,16.36,279
Dish soap,11.10,957
Dishwasher detergent,1.90,135
Dog food,11.71,113
Doughnuts,15.43,333
Dried fruit,11.43,746
Drink crystals,14.66,920
Egg Nog,12.41,428
Egg plant,15.16,91
Egg substitute,9.58,452
Eggs,13.62,244
Endives,19.22,984
English muffins,5.07,968
Escargot (snails),14.44,4
Fabric softener,19.15,108
Facial tissue,18.00,276
Fish sticks,9.27,964
Flea collar,5.63,430
Floss,19.58,805
Flounder,12.66,141
Flour,11.11,259
Flu medicine,9.75,576
Formula,16.05,646
French bread,3.51,913
French fries,14.72,917
Fruit,13.56,825
Fruit juice,11.01,836
Fruit salad,5.09,791
Garbage bags,19.58,9
Garlic,15.95,346
Garlic,3.67,204
Garlic bread,7.55,734
Ginger,7.86,986
Glass's cleaner,20.24,449
Graham crumbles,5.75,448
Granola bars,15.67,699
Grape nuts,15.15,305
Grapefruit,6.34,28
Grapes,20.46,237
Gravy,8.10,655
Green peppers,16.56,764
Grooming comb,9.08,914
Ground beef,8.78,355
Ground pork,16.73,880
Gum,3.21,759
Hair color,18.75,201
Hair gel,5.24,214
Hair spray,9.40,471
Half & half,9.87,258
Halibut,17.31,28
Ham,6.93,652
Hamburger buns,12.06,611
Hamburgers,3.70,907
Hand soap,19.99,451
Hash browns,11.10,927
Hickory sticks,18.89,693
Honey,20.62,612
Honey comb,12.12,200
Honey nut ohs,13.14,212
Honeydew,4.83,547
Hot dog buns,11.37,639
Hot dogs,13.93,831
Hot sauce,16.52,677
Hot/Cold rub,5.28,392
HP sauce,11.51,856
Ice cream,17.12,198
Icing,10.17,500
Instant Noodles,1.80,156
Jam,4.30,420
Jell-O,4.28,190
Jelly,13.86,168
Juice,16.39,848
Juice concentrate,12.37,128
Kale,20.22,280
Ketchup,10.86,155
Kid's cereal,16.56,30
Kitchen cleaner,10.27,747
Kiwi,8.81,828
Kohlrabi,16.35,492
Kumquats,16.60,439
Laundry detergent,19.48,304
Lemon juice,14.62,910
Lemons,15.65,162
Lettuce,2.96,740
Life,11.27,798
Limes,12.48,250
Linguini,14.92,610
Lip balm,18.48,545
Liver,13.77,186
Lobster,5.47,10
Lunch bags,5.46,699
Mac&cheese,19.88,880
Macaroni,9.85,79
Mangoes,17.18,14
Maple syrup,12.40,598
Margarine,18.47,570
Marmalade,4.37,859
Mashed potatoes,11.67,940
Mayonnaise,4.77,419
Meat sauce,9.31,267
Meat tenderizer,1.08,957
Medicine,13.42,440
Melon,15.19,857
Milk 1%,2.90,335
Milk 2%,20.68,461
Milk chocolate,10.29,637
Mineral water,14.45,573
Mini wheats,12.66,328
Mint,20.91,580
Mixed vegetables,3.79,348
Mixers,6.21,639
Molasses,6.46,826
Montreal meat spice,14.33,573
Mosquito repellant,15.31,558
Mousse ,4.79,176
Mozzarella sticks,10.47,344
Muffin Mix,7.36,524
Mushrooms,20.38,269
Muslix,20.66,56
Mussels,7.52,408
Mustard,13.94,877
Nacho chips,13.31,472
Nacho dip,8.82,550
Nail clippers,6.94,29
Napkins,5.10,671
Nectarines,10.26,599
Non-stick spray,17.29,568
Nuts,14.18,836
Nuts,3.83,505
Oat meal,9.84,899
Oatmeal,18.95,757
Oil,19.85,113
Olives,15.61,357
Onion rings,7.22,394
Onion soup,16.44,649
Onions,5.49,659
Oranges,6.34,660
Oregano,6.28,561
Oregano,14.64,960
Oven cleaner,1.77,198
Oysters,1.99,66
Oysters,4.00,171
Pabulum,9.81,622
Pancake mix,3.47,424
Pancakes,18.01,851
Papaya,16.50,938
Paper plates,2.15,421
Paper towel,20.80,534
Paper towels,19.68,604
Paprika,8.69,980
Parsley,7.48,127
Parsley,10.52,432
Parsnips,4.02,934
Pasta,11.96,56
Pasta sauce,10.86,447
Pate,18.43,674
Peaches,11.13,992
Peaches,16.30,393
Peanut butter,4.26,154
Peanuts,18.67,741
Peanuts,19.08,620
Pears,12.91,91
Pears,2.30,883
Peas,3.84,374
Peas,12.94,988
Pectin,11.27,612
Pepper,10.94,623
Pepperoni,9.33,349
Perogies,20.21,397
Pickles,17.56,652
Pie,20.98,20
Pie,5.67,433
Pineapple,3.01,244
Pineapple,18.32,808
Pita bread,10.20,609
Pizza,10.75,10
Pizza,3.62,232
Pizza snacks,18.03,116
Plastic containers,17.40,674
Plastic cups,12.91,791
Plastic cutlery,16.86,23
Plastic wrap,20.98,959
Plums,1.19,657
Pop,1.61,754
Popcorn,19.59,453
Popsicles,12.44,492
Pork & beans,11.09,349
Pork chops,9.56,489
Pork rinds,8.52,473
Pot scrubbers,5.25,382
Potato nuggets,13.97,661
Potato soup,20.88,822
Potatoes,16.70,570
Pretzels,19.92,556
Protein bars,10.55,820
Puffed wheat,1.16,329
Pumpernickel,18.97,378
Pumpkin,12.38,222
Radishes,15.96,899
Raisin bran,14.53,613
Raisin bread,18.63,656
Raspberries,10.52,302
Ravioli,13.88,810
Red peppers,10.01,192
Red snapper,4.96,11
Reflective collar,6.83,179
Relish,8.05,808
Rice,1.33,344
Rice crispies,10.23,893
Roast beef,17.74,106
Rotini,4.66,901
Rutabagas,14.91,427
Rye bread,6.16,389
Salad dressing,19.32,958
Salami,19.59,982
Salmon,14.23,421
Salmon,16.67,73
Salsa,12.85,66
Salt,11.12,176
Salt,13.69,279
Sandwich bags,11.76,548
Sandwich bread,14.63,189
Sardines,11.43,895
Sausage,9.99,526
Scrubbers,2.00,36
Seafood Frozen ,7.56,822
Sealable bags,15.89,408
Shampoo,14.47,787
Shortening,9.87,518
Shreddies,20.57,64
Shrimp,12.15,29
Sorbet,20.47,873
Soup,6.95,732
Sour cream,14.56,927
Sourdough,17.90,273
Soy milk,14.51,933
Soy sauce,15.48,263
Spaghetti,20.14,612
Spam,9.01,628
Spinach,7.23,633
Sponges,19.72,785
Sport drink,12.20,486
Sprinkles,13.27,424
Sprouts,7.70,817
Squash,15.01,774
Steak,5.32,370
Steak sauce,12.79,940
Stew,7.74,234
Stir fry,14.33,980
Strawberries,18.62,324
Sugar,13.10,897
Sugar substitute,8.26,455
Sweet & sour sauce,20.90,39
Sword fish,14.12,846
Syrup,20.63,402
Taquitos,6.49,286
Tartar Sauce,2.38,9
Tater tots,3.22,513
Tea,9.73,680
Teething ointment,4.87,227
Teething ring,8.73,329
Tilapia,11.38,850
Tofu,12.79,374
Toilet bowl cleaner,3.17,540
Toilet paper,6.96,467
Toilet tank fresheners,4.48,432
Tomato paste,8.39,705
Tomato sauce,3.68,941
Tomatoes,17.05,288
Tomatoes,3.04,75
Tortillas,7.75,748
Toys,20.07,765
Trail mix,4.33,174
Treats,8.01,855
Tub&Tile cleaner,6.96,379
Tuna,5.58,473
Tuna,1.77,178
Turkey,4.44,225
Turkey,18.56,341
Turkey,10.10,208
Turkey breast,14.04,668
Turkey pot pie,11.88,65
TV dinners,14.96,135
Vacuum bags,20.82,951
Vanilla extract,20.56,700
Vector,7.97,25
Vegetables Fruits ,6.53,230
Veggie burgers,6.77,749
Veggie dogs,20.03,205
Vinegar,20.27,715
Waffles,13.26,658
Wax paper,3.85,356
Whipping cream,6.57,701
Whole grain,5.79,725
Worcestershire sauce,15.24,468
Yams,5.52,243
Yeast,13.09,47
Yellow peppers,18.55,523
Yogurt,15.14,874
Zucchini,1.43,301
